id,division_id,name,bangla,web,created_by
1,1,Comilla,কুমিল্লা,www.comilla.gov.bd,system
2,1,Feni,ফেনী,www.feni.gov.bd,system
3,1,Brahmanbaria,ব্রাহ্মণবাড়িয়া,www.brahmanbaria.gov.bd,system
4,1,Rangamati,রাঙ্গামাটি,www.rangamati.gov.bd,system
5,1,Noakhali,নোয়াখালী,www.noakhali.gov.bd,system
6,1,Chandpur,চাঁদপুর,www.chandpur.gov.bd,system
7,1,Lakshmipur,লক্ষ্মীপুর,www.lakshmipur.gov.bd,system
8,1,Chattogram,চট্টগ্রাম,www.chittagong.gov.bd,system
9,1,Coxsbazar,কক্সবাজার,www.coxsbazar.gov.bd,system
10,1,Khagrachhari,খাগড়াছড়ি,www.khagrachhari.gov.bd,system
11,1,Bandarban,বান্দরবান,www.bandarban.gov.bd,system
12,2,Sirajganj,সিরাজগঞ্জ,www.sirajganj.gov.bd,system
13,2,Pabna,পাবনা,www.pabna.gov.bd,system
14,2,Bogura,বগুড়া,www.bogra.gov.bd,system
15,2,Rajshahi,রাজশাহী,www.rajshahi.gov.bd,system
16,2,Natore,নাটোর,www.natore.gov.bd,system
17,2,Joypurhat,জয়পুরহাট,www.joypurhat.gov.bd,system
18,2,Chapainawabganj,চাঁপাইনবাবগঞ্জ,www.chapainawabganj.gov.bd,system
19,2,Naogaon,নওগাঁ,www.naogaon.gov.bd,system
20,3,Jashore,যশোর,www.jessore.gov.bd,system
21,3,Satkhira,সাতক্ষীরা,www.satkhira.gov.bd,system
22,3,Meherpur,মেহেরপুর,www.meherpur.gov.bd,system
23,3,Narail,নড়াইল,www.narail.gov.bd,system
24,3,Chuadanga,চুয়াডাঙ্গা,www.chuadanga.gov.bd,system
25,3,Kushtia,কুষ্টিয়া,www.kushtia.gov.bd,system
26,3,Magura,মাগুরা,www.magura.gov.bd,system
27,3,Khulna,খুলনা,www.khulna.gov.bd,system
28,3,Bagerhat,বাগেরহাট,www.bagerhat.gov.bd,system
29,3,Jhenaidah,ঝিনাইদহ,www.jhenaidah.gov.bd,system
30,4,Jhalakathi,ঝালকাঠি,www.jhalakathi.gov.bd,system
31,4,Patuakhali,পটুয়াখালী,www.patuakhali.gov.bd,system
32,4,Pirojpur,পিরোজপুর,www.pirojpur.gov.bd,system
33,4,Barisal,বরিশাল,www.barisal.gov.bd,system
34,4,Bhola,ভোলা,www.bhola.gov.bd,system
35,4,Barguna,বরগুনা,www.barguna.gov.bd,system
36,5,Sylhet,সিলেট,www.sylhet.gov.bd,system
37,5,Moulvibazar,মৌলভীবাজার,www.moulvibazar.gov.bd,system
38,5,Habiganj,হবিগঞ্জ,www.habiganj.gov.bd,system
39,5,Sunamganj,সুনামগঞ্জ,www.sunamganj.gov.bd,system
40,6,Narsingdi,নরসিংদী,www.narsingdi.gov.bd,system
41,6,Gazipur,গাজীপুর,www.gazipur.gov.bd,system
42,6,Shariatpur,শরীয়তপুর,www.shariatpur.gov.bd,system
43,6,Narayanganj,নারায়ণগঞ্জ,www.narayanganj.gov.bd,system
44,6,Tangail,টাঙ্গাইল,www.tangail.gov.bd,system
45,6,Kishoreganj,কিশোরগঞ্জ,www.kishoreganj.gov.bd,system
46,6,Manikganj,মানিকগঞ্জ,www.manikganj.gov.bd,system
47,6,Dhaka,ঢাকা,www.dhaka.gov.bd,system
48,6,Munshiganj,মুন্সিগঞ্জ,www.munshiganj.gov.bd,system
49,6,Rajbari,রাজবাড়ী,www.rajbari.gov.bd,system
50,6,Madaripur,মাদারীপুর,www.madaripur.gov.bd,system
51,6,Gopalganj,গোপালগঞ্জ,www.gopalganj.gov.bd,system
52,6,Faridpur,ফরিদপুর,www.faridpur.gov.bd,system
53,7,Panchagarh,পঞ্চগড়,www.panchagarh.gov.bd,system
54,7,Dinajpur,দিনাজপুর,www.dinajpur.gov.bd,system
55,7,Lalmonirhat,লালমনিরহাট,www.lalmonirhat.gov.bd,system
56,7,Nilphamari,নীলফামারী,www.nilphamari.gov.bd,system
57,7,Gaibandha,গাইবান্ধা,www.gaibandha.gov.bd,system
58,7,Thakurgaon,ঠাকুরগাঁও,www.thakurgaon.gov.bd,system
59,7,Rangpur,রংপুর,www.rangpur.gov.bd,system
60,7,Kurigram,কুড়িগ্রাম,www.kurigram.gov.bd,system
61,8,Sherpur,শেরপুর,www.sherpur.gov.bd,system
62,8,Mymensingh,ময়মনসিংহ,www.mymensingh.gov.bd,system
63,8,Jamalpur,জামালপুর,www.jamalpur.gov.bd,system
64,8,Netrokona,নেত্রকোণা,www.netrokona.gov.bd,system
