id,district_id,name,bangla,web,created_by
1,1,Debidwar,দেবিদ্বার,debidwar.comilla.gov.bd,system
2,1,Barura,বরুড়া,barura.comilla.gov.bd,system
3,1,Brahmanpara,ব্রাহ্মণপাড়া,brahmanpara.comilla.gov.bd,system
4,1,Chandina,চান্দিনা,chandina.comilla.gov.bd,system
5,1,Chauddagram,চৌদ্দগ্রাম,chauddagram.comilla.gov.bd,system
6,1,Daudkandi,দাউদকান্দি,daudkandi.comilla.gov.bd,system
7,1,Homna,হোমনা,homna.comilla.gov.bd,system
8,1,Laksam,লাকসাম,laksam.comilla.gov.bd,system
9,1,Muradnagar,মুরাদনগর,muradnagar.comilla.gov.bd,system
10,1,Nangalkot,নাঙ্গলকোট,nangalkot.comilla.gov.bd,system
11,1,Comilla Sadar,কুমিল্লা সদর,comillasadar.comilla.gov.bd,system
12,1,Meghna,মেঘনা,meghna.comilla.gov.bd,system
13,1,Monohargonj,মনোহরগঞ্জ,monohargonj.comilla.gov.bd,system
14,1,Sadarsouth,সদর দক্ষিণ,sadarsouth.comilla.gov.bd,system
15,1,Titas,তিতাস,titas.comilla.gov.bd,system
16,1,Burichang,বুড়িচং,burichang.comilla.gov.bd,system
17,1,Lalmai,লালমাই,lalmai.comilla.gov.bd,system
18,2,Chhagalnaiya,ছাগলনাইয়া,chhagalnaiya.feni.gov.bd,system
19,2,Feni Sadar,ফেনী সদর,sadar.feni.gov.bd,system
20,2,Sonagazi,সোনাগাজী,sonagazi.feni.gov.bd,system
21,2,Fulgazi,ফুলগাজী,fulgazi.feni.gov.bd,system
22,2,Parshuram,পরশুরাম,parshuram.feni.gov.bd,system
23,2,Daganbhuiyan,দাগনভূঞা,daganbhuiyan.feni.gov.bd,system
24,3,Brahmanbaria Sadar,ব্রাহ্মণবাড়িয়া সদর,sadar.brahmanbaria.gov.bd,system
25,3,Kasba,কসবা,kasba.brahmanbaria.gov.bd,system
26,3,Nasirnagar,নাসিরনগর,nasirnagar.brahmanbaria.gov.bd,system
27,3,Sarail,সরাইল,sarail.brahmanbaria.gov.bd,system
28,3,Ashuganj,আশুগঞ্জ,ashuganj.brahmanbaria.gov.bd,system
29,3,Akhaura,আখাউড়া,akhaura.brahmanbaria.gov.bd,system
30,3,Nabinagar,নবীনগর,nabinagar.brahmanbaria.gov.bd,system
31,3,Bancharampur,বাঞ্ছারামপুর,bancharampur.brahmanbaria.gov.bd,system
32,3,Bijoynagar,বিজয়নগর,bijoynagar.brahmanbaria.gov.bd    ,system
33,4,Rangamati Sadar,রাঙ্গামাটি সদর,sadar.rangamati.gov.bd,system
34,4,Kaptai,কাপ্তাই,kaptai.rangamati.gov.bd,system
35,4,Kawkhali,কাউখালী,kawkhali.rangamati.gov.bd,system
36,4,Baghaichari,বাঘাইছড়ি,baghaichari.rangamati.gov.bd,system
37,4,Barkal,বরকল,barkal.rangamati.gov.bd,system
38,4,Langadu,লংগদু,langadu.rangamati.gov.bd,system
39,4,Rajasthali,রাজস্থলী,rajasthali.rangamati.gov.bd,system
40,4,Belaichari,বিলাইছড়ি,belaichari.rangamati.gov.bd,system
41,4,Juraichari,জুরাছড়ি,juraichari.rangamati.gov.bd,system
42,4,Naniarchar,নানিয়ারচর,naniarchar.rangamati.gov.bd,system
43,5,Noakhali Sadar,নোয়াখালী সদর,sadar.noakhali.gov.bd,system
44,5,Companiganj,কোম্পানীগঞ্জ,companiganj.noakhali.gov.bd,system
45,5,Begumganj,বেগমগঞ্জ,begumganj.noakhali.gov.bd,system
46,5,Hatia,হাতিয়া,hatia.noakhali.gov.bd,system
47,5,Subarnachar,সুবর্ণচর,subarnachar.noakhali.gov.bd,system
48,5,Kabirhat,কবিরহাট,kabirhat.noakhali.gov.bd,system
49,5,Senbug,সেনবাগ,senbug.noakhali.gov.bd,system
50,5,Chatkhil,চাটখিল,chatkhil.noakhali.gov.bd,system
51,5,Sonaimori,সোনাইমুড়ী,sonaimori.noakhali.gov.bd,system
52,6,Haimchar,হাইমচর,haimchar.chandpur.gov.bd,system
53,6,Kachua,কচুয়া,kachua.chandpur.gov.bd,system
54,6,Shahrasti,"শাহরাস্তি	",shahrasti.chandpur.gov.bd,system
55,6,Chandpur Sadar,চাঁদপুর সদর,sadar.chandpur.gov.bd,system
56,6,Matlab South,মতলব দক্ষিণ,matlabsouth.chandpur.gov.bd,system
57,6,Hajiganj,হাজীগঞ্জ,hajiganj.chandpur.gov.bd,system
58,6,Matlab North,মতলব উত্তর,matlabnorth.chandpur.gov.bd,system
59,6,Faridgonj,ফরিদগঞ্জ,faridgonj.chandpur.gov.bd,system
60,7,Lakshmipur Sadar,লক্ষ্মীপুর সদর,sadar.lakshmipur.gov.bd,system
61,7,Kamalnagar,কমলনগর,kamalnagar.lakshmipur.gov.bd,system
62,7,Raipur,রায়পুর,raipur.lakshmipur.gov.bd,system
63,7,Ramgati,রামগতি,ramgati.lakshmipur.gov.bd,system
64,7,Ramganj,রামগঞ্জ,ramganj.lakshmipur.gov.bd,system
65,8,Rangunia,রাঙ্গুনিয়া,rangunia.chittagong.gov.bd,system
66,8,Sitakunda,সীতাকুন্ড,sitakunda.chittagong.gov.bd,system
67,8,Mirsharai,মীরসরাই,mirsharai.chittagong.gov.bd,system
68,8,Patiya,পটিয়া,patiya.chittagong.gov.bd,system
69,8,Sandwip,সন্দ্বীপ,sandwip.chittagong.gov.bd,system
70,8,Banshkhali,বাঁশখালী,banshkhali.chittagong.gov.bd,system
71,8,Boalkhali,বোয়ালখালী,boalkhali.chittagong.gov.bd,system
72,8,Anwara,আনোয়ারা,anwara.chittagong.gov.bd,system
73,8,Chandanaish,চন্দনাইশ,chandanaish.chittagong.gov.bd,system
74,8,Satkania,সাতকানিয়া,satkania.chittagong.gov.bd,system
75,8,Lohagara,লোহাগাড়া,lohagara.chittagong.gov.bd,system
76,8,Hathazari,হাটহাজারী,hathazari.chittagong.gov.bd,system
77,8,Fatikchhari,ফটিকছড়ি,fatikchhari.chittagong.gov.bd,system
78,8,Raozan,রাউজান,raozan.chittagong.gov.bd,system
79,8,Karnafuli,কর্ণফুলী,karnafuli.chittagong.gov.bd,system
80,9,Coxsbazar Sadar,কক্সবাজার সদর,sadar.coxsbazar.gov.bd,system
81,9,Chakaria,চকরিয়া,chakaria.coxsbazar.gov.bd,system
82,9,Kutubdia,কুতুবদিয়া,kutubdia.coxsbazar.gov.bd,system
83,9,Ukhiya,উখিয়া,ukhiya.coxsbazar.gov.bd,system
84,9,Moheshkhali,মহেশখালী,moheshkhali.coxsbazar.gov.bd,system
85,9,Pekua,পেকুয়া,pekua.coxsbazar.gov.bd,system
86,9,Ramu,রামু,ramu.coxsbazar.gov.bd,system
87,9,Teknaf,টেকনাফ,teknaf.coxsbazar.gov.bd,system
88,10,Khagrachhari Sadar,খাগড়াছড়ি সদর,sadar.khagrachhari.gov.bd,system
