id;attendance_time;machine_no;marked_as;leave_applied;employee_id
1;2021-01-07T19:49:36;overriding cross-platform quantifying;WR;NO;1
2;2021-01-07T21:15:37;Expanded optical local area network;WO;YES;2
3;2021-01-08T02:01:14;channels;WR;YES;3
4;2021-01-07T09:05:48;Facilitator Investment Account Principal;R;YES;4
5;2021-01-07T10:19:56;Oklahoma;HR;YES;5
6;2021-01-07T16:15:27;1080p Delaware;WR;NO;6
7;2021-01-07T08:32:20;Shores;HR;YES;7
8;2021-01-07T17:17:47;repurpose Strategist;HR;YES;8
9;2021-01-07T15:46:14;approach Austria;HR;NO;9
10;2021-01-08T02:40:50;Soft Handcrafted Towels;WO;YES;10
