id;serial;degree;institution;passing_year;course_duration;attachment;attachment_content_type
1;50405;grid-enabled Estates 1080p;Small Soft Shirt Gibraltar Designer;65965;23368;../fake-data/blob/hipster.png;image/png
2;16121;leverage;Sweden extranet;34377;75622;../fake-data/blob/hipster.png;image/png
3;86135;Checking Account;Investment Account channels navigate;69914;75005;../fake-data/blob/hipster.png;image/png
4;3238;white;Representative fresh-thinking Libyan Dinar;3583;38442;../fake-data/blob/hipster.png;image/png
5;24119;auxiliary ivory Handmade;deposit clear-thinking;92327;5147;../fake-data/blob/hipster.png;image/png
6;24825;Views;JBOD synthesize bandwidth;56381;97265;../fake-data/blob/hipster.png;image/png
7;17220;orange;Practical capacitor Bedfordshire;61536;49464;../fake-data/blob/hipster.png;image/png
8;32373;AGP invoice;Panama;27425;85060;../fake-data/blob/hipster.png;image/png
9;16464;Cloned architectures;even-keeled convergence Kina;75617;91808;../fake-data/blob/hipster.png;image/png
10;73271;PCI repurpose array;Kids;34401;19706;../fake-data/blob/hipster.png;image/png
