id;serial;organization;jhi_from;jhi_to;total
1;12637;Oregon;2020-11-27;2020-11-27;31819
2;81463;Fresh Assimilated Kenyan Shilling;2020-11-27;2020-11-27;85707
3;30311;neutral overriding deposit;2020-11-27;2020-11-27;12813
4;22145;Intelligent Cotton Computer;2020-11-27;2020-11-27;1949
5;32193;Gloves Road;2020-11-27;2020-11-27;77061
6;32479;Fantastic Steel Pizza protocol;2020-11-27;2020-11-27;68905
7;23747;Strategist;2020-11-27;2020-11-27;92201
8;70543;Intranet;2020-11-27;2020-11-27;91354
9;71768;Intelligent GB vertical;2020-11-27;2020-11-27;96114
10;88887;Hong Kong Dollar Intelligent Granite Keyboard;2020-11-27;2020-11-27;93821
