id;name;short_name;name_in_bangla;description
1;Isle;Fantastic;connecting Personal Loan Account;../fake-data/blob/hipster.txt
2;payment Montserrat;backing up Rue;bypass withdrawal;../fake-data/blob/hipster.txt
3;Frozen;monitor teal Auto Loan Account;Handcrafted Executive matrix;../fake-data/blob/hipster.txt
4;content optical;Integrated;Research Small Corporate;../fake-data/blob/hipster.txt
5;enable;Steel Configuration Designer;system engine Australian Dollar;../fake-data/blob/hipster.txt
6;Wyoming invoice;card XML;Refined Fresh Towels Chilean Peso Unidades de fomento withdrawal;../fake-data/blob/hipster.txt
7;Handcrafted;Philippines;standardization tan deposit;../fake-data/blob/hipster.txt
8;China;District French Southern Territories;middleware next-generation;../fake-data/blob/hipster.txt
9;viral;platforms Grass-roots;HTTP;../fake-data/blob/hipster.txt
10;Central generating strategize;plum application;protocol;../fake-data/blob/hipster.txt
