id;name;short_name;name_in_bangla;description
1;Virtual;transmitter Seychelles Rupee;AGP Tools New Hampshire;../fake-data/blob/hipster.txt
2;4th generation groupware;Expanded open-source capability;TCP blue Representative;../fake-data/blob/hipster.txt
3;web-readiness Hat e-markets;Awesome;generate solution-oriented Specialist;../fake-data/blob/hipster.txt
4;Avon maximize;Dominica;application;../fake-data/blob/hipster.txt
5;open-source Clothing;fuchsia Generic Granite Table;Concrete Brand;../fake-data/blob/hipster.txt
6;Toys Home distributed;Universal Executive;override South Dakota;../fake-data/blob/hipster.txt
7;infrastructures;engineer capacity;Oregon;../fake-data/blob/hipster.txt
8;Identity;schemas program;Grocery;../fake-data/blob/hipster.txt
9;azure;Direct multi-byte;New York Towels;../fake-data/blob/hipster.txt
10;Pants;asynchronous Orchestrator;Pennsylvania encryption payment;../fake-data/blob/hipster.txt
