id;name;short_name;name_in_bangla;description
1;Liaison innovate payment;magnetic Baby;Fresh North Carolina;../fake-data/blob/hipster.txt
2;turn-key Computers;haptic Brunei Dollar;District withdrawal Sao Tome and Principe;../fake-data/blob/hipster.txt
3;Gloves Cambridgeshire;Mauritius Rupee parse Soft;Rest;../fake-data/blob/hipster.txt
4;Pants Ouguiya Bike;payment;Refined Metal Pizza;../fake-data/blob/hipster.txt
5;deposit Analyst;Pants Unbranded Baby;revolutionize scalable Station;../fake-data/blob/hipster.txt
6;Montana;Connecticut Haven;Point Dynamic;../fake-data/blob/hipster.txt
7;Centers transmitting calculating;Checking Account;plum Integration;../fake-data/blob/hipster.txt
8;Central Concrete;Colorado;blue Refined Soft Car pixel;../fake-data/blob/hipster.txt
9;Small Multi-lateral Gabon;Concrete program Cross-platform;Shoes mobile connect;../fake-data/blob/hipster.txt
10;open architecture;Beauty District COM;USB users;../fake-data/blob/hipster.txt
