id;emp_id;global_id;local_id;category;type;joining_date;termination_date;termination_reason
1;calculate Investment Account;Soft Investment Account port;innovative Realigned;MANAGERIAL;PART_TIME;2020-11-27;2020-11-27;../fake-data/blob/hipster.txt
2;Assistant;Home;bandwidth-monitored Sleek;MANAGERIAL;PERMANENT;2020-11-27;2020-11-27;../fake-data/blob/hipster.txt
3;Unbranded Granite Bacon;synergy internet solution;Granite;MANAGERIAL;PART_TIME;2020-11-26;2020-11-27;../fake-data/blob/hipster.txt
4;payment portals time-frame;calculate Concrete Soap;Marketing interface;STAFF;TEMPORARY;2020-11-27;2020-11-27;../fake-data/blob/hipster.txt
5;Sleek;Cambridgeshire Illinois;Small Concrete Chicken;MANAGERIAL;TEMPORARY;2020-11-26;2020-11-27;../fake-data/blob/hipster.txt
6;microchip;white;back up Bedfordshire deliverables;MANAGERIAL;TEMPORARY;2020-11-27;2020-11-27;../fake-data/blob/hipster.txt
7;Rustic Personal Loan Account;Ball Investor;Soft Crest Practical Wooden Towels;STAFF;TEMPORARY;2020-11-27;2020-11-27;../fake-data/blob/hipster.txt
8;communities incentivize payment;Burundi Franc Assimilated;Toys Upgradable;WORKER;CONTRACTUAL;2020-11-27;2020-11-27;../fake-data/blob/hipster.txt
9;adapter systems International;deposit back up Books;Lead;MANAGERIAL;CONTRACTUAL;2020-11-27;2020-11-27;../fake-data/blob/hipster.txt
10;Games;generate circuit Administrator;Sports;MANAGERIAL;TEMPORARY;2020-11-27;2020-11-27;../fake-data/blob/hipster.txt
