id;name;description
1;database Accounts;../fake-data/blob/hipster.txt
2;panel;../fake-data/blob/hipster.txt
3;transition;../fake-data/blob/hipster.txt
4;Alaska Soft;../fake-data/blob/hipster.txt
5;artificial intelligence;../fake-data/blob/hipster.txt
6;Borders Shoes;../fake-data/blob/hipster.txt
7;Berkshire 1080p;../fake-data/blob/hipster.txt
8;forecast capacitor;../fake-data/blob/hipster.txt
9;Shirt structure Designer;../fake-data/blob/hipster.txt
10;Orchestrator contingency navigate;../fake-data/blob/hipster.txt
