id;year;month;from_date;to_date;total_over_time;official_over_time;extra_over_time;total_amount;official_amount;extra_amount;note;executed_on;executed_by
1;92301;FEBRUARY;2021-01-15T22:09:52;2021-01-16T09:35:47;76284;10115;62918;6131;14309;46889;../fake-data/blob/hipster.txt;2021-01-16T04:48:17;Central
2;88028;OCTOBER;2021-01-15T22:32:52;2021-01-16T02:13:25;97105;1435;65015;42811;61585;84293;../fake-data/blob/hipster.txt;2021-01-15T14:06:42;indigo pixel
3;18896;JANUARY;2021-01-16T09:07:58;2021-01-15T14:38:45;57775;71815;87818;54799;64416;38185;../fake-data/blob/hipster.txt;2021-01-16T04:58:13;quantify Checking Account Nauru
4;78659;NOVEMBER;2021-01-15T21:09:55;2021-01-15T22:21:09;47743;96037;31465;29620;36066;42696;../fake-data/blob/hipster.txt;2021-01-16T04:25:26;transmit Ergonomic calculating
5;66645;AUGUST;2021-01-15T19:20:29;2021-01-16T02:31:19;10480;19002;1348;92446;67196;74312;../fake-data/blob/hipster.txt;2021-01-16T02:01:01;Officer haptic Optional
6;46551;JUNE;2021-01-15T14:56:18;2021-01-15T16:07:49;23662;75515;65008;56851;52277;30008;../fake-data/blob/hipster.txt;2021-01-15T21:16:14;Vermont Usability redefine
7;92941;OCTOBER;2021-01-15T16:23:56;2021-01-15T14:18:40;40940;25421;51675;41904;5797;78155;../fake-data/blob/hipster.txt;2021-01-16T08:15:41;Credit Card Account
8;95714;FEBRUARY;2021-01-16T06:46:31;2021-01-16T10:18:18;25948;53564;68461;93477;47310;72955;../fake-data/blob/hipster.txt;2021-01-16T11:17:43;index Robust
9;32324;APRIL;2021-01-15T21:50:03;2021-01-15T17:19:37;27058;84906;97813;46468;26543;434;../fake-data/blob/hipster.txt;2021-01-15T16:59:28;transparent Decentralized capacitor
10;83087;FEBRUARY;2021-01-16T00:29:45;2021-01-16T08:38:46;23039;7324;78864;97285;17000;81921;../fake-data/blob/hipster.txt;2021-01-15T19:23:15;open architecture navigating
