id;serial;name;training_institute;received_on
1;22625;Coordinator;Associate Assurance info-mediaries;2020-11-27
2;20282;sky blue;adapter;2020-11-27
3;83974;Gibraltar Pound;neural;2020-11-26
4;47747;Small Plastic Shirt;experiences Mobility Metal;2020-11-27
5;90526;compress Virginia;synergize Awesome Rubber Salad quantifying;2020-11-27
6;19536;Streamlined;framework;2020-11-27
7;32343;heuristic Bahamian Dollar;Home Bedfordshire;2020-11-27
8;3502;Iran;Yen;2020-11-27
9;46395;Checking Account;Concrete Indiana District;2020-11-27
10;83828;Soft migration Licensed;Home Loan Account Metal Administrator;2020-11-27
